tag,category,role,typical_interaction,compatible_categories,complexity_level
player:rotate,player,motion_control,rotational_movement,field+weapon+rule,medium
player:reciprocate,player,motion_control,oscillating_movement,field+obstacle+rule,low
player:reflect,player,collision_response,bounce_mechanics,field+obstacle+weapon,low
player:bounce,player,motion_control,vertical_movement,field+obstacle+rule,low
player:automatic,player,motion_control,autonomous_movement,field+obstacle+rule,low
player:string,player,shape_modifier,flexible_form,field+weapon+rule,low
player:bar,player,shape_modifier,rigid_form,field+weapon+rule,low
player:circle,player,shape_modifier,radial_form,field+weapon+rule,low
player:multiple,player,entity_multiplier,multi_character,field+rule+weapon,medium
player:follow,player,behavior_modifier,trailing_movement,field+obstacle+rule,low
player:inverted,player,perception_modifier,dual_world_view,field+rule+weapon,medium
player:limited_vision,player,perception_modifier,restricted_sight,field+obstacle+rule,low
player:scaffold,player,indirect_control,platform_navigation,field+rule+obstacle,low
player:step_on,player,interaction_ability,enemy_defeat,obstacle+weapon+rule,low
player:paint,player,world_modifier,terrain_painting,field+rule+weapon,low
weapon:artillery,weapon,projectile_physics,parabolic_trajectory,player+field+rule,low
weapon:chase,weapon,target_tracking,homing_projectile,player+obstacle+rule,minimal
weapon:vertical,weapon,directional_attack,perpendicular_fire,player+field+obstacle,low
weapon:reflect,weapon,ricochet_mechanics,bouncing_projectile,field+obstacle+rule,minimal
weapon:explosion,weapon,area_effect,blast_radius,field+obstacle+rule,medium
weapon:spread,weapon,multi_projectile,scatter_shot,player+obstacle+rule,minimal
weapon:beam,weapon,continuous_attack,sustained_damage,player+obstacle+rule,low
weapon:auto,weapon,automated_fire,continuous_shooting,player+obstacle+rule,minimal
weapon:charge,weapon,power_accumulation,charging_attack,player+rule+obstacle,low
weapon:short_range,weapon,proximity_attack,close_combat,player+obstacle+field,minimal
weapon:boomerang,weapon,returning_projectile,curved_trajectory,field+obstacle+rule,low
weapon:gravity,weapon,physics_modifier,gravitational_pull,field+player+rule,low
weapon:laser,weapon,instant_attack,line_damage,player+obstacle+field,minimal
weapon:multi,weapon,parallel_fire,simultaneous_shots,player+obstacle+rule,low
weapon:speed,weapon,velocity_modifier,fast_projectile,field+obstacle+rule,minimal
field:bottomless,field,hazard_zone,death_pit,player+rule+obstacle,low
field:outpost,field,safe_zone,protected_area,player+weapon+rule,low
field:spike,field,hazard_terrain,damage_surface,player+rule+weapon,medium
field:lanes,field,movement_constraint,channel_navigation,player+obstacle+rule,medium
