tag,typical game,overview,description,priority
player:rotate,ORBIT MAN,The player character rotates.,"Timing must be coordinated to advance or fire bullets, as the direction of movement and the firing direction of bullets change over time.",medium
player:reciprocate,BALL TOUR,The player character reciprocates horizontally or vertically.,This is combined with mechanics that involve player-controlled movement and speed changes.,low
player:reflect,VH WALLS,The player character reflects upon colliding with a wall or object.,"To anticipate the movement of the reflection, actions such as positioning walls should be taken.",low
player:bounce,HOPPING P,The player character is constantly bouncing.,"Utilizing vertical movements.,it timely avoids obstacles and collects items.",minimal
player:automatic,LADDER DROP,The player character moves automatically without requiring input.,The player character moves automatically along the terrain and avoids enemies on its own.,low
player:string,ZARTAN,The player character has the shape of a string or spring.,Incorporating movements that involve being pulled by a string makes controlling the player character more intricate.,low
player:bar,TWIN P,The player character  has a rod-shaped form.,"When combined with rotational motion, it adds complexity to movements such as dodging obstacles and maneuvering.",low
player:circle,CIRCLE W,The player character has a circular shape.,"By increasing the radius, there is a trade-off between the risk and reward of larger hitboxes and attack ranges.",low
player:multiple,SURVIVOR,There exist multiple player characters within the game.,Necessitating the simultaneous handling of multiple characters and resulting in increased complexity.,medium
player:follow,IN TOW,To follow the player character.,"To increase the reward by attracting many characters. As a tradeoff, the risk of increasing collision detection arises.",low
player:inverted,BOTTOP,The player character exists in a reversed state.,"There are multiple fields where the player character can move between, or in each field, there may be multiple player characters present. The player must be attentive to multiple fields simultaneously.",medium
player:limited_vision,DARK CAVE,The player's vision is limited.,This may be due to the restricted visible area on the screen or the existence of a means to observe off-screen situations. The skill of moving while anticipating situations outside of the field of vision is required.,low
player:scaffold,SCAFFOLD,The player character moves along the scaffolds or terrain.,The player creates scaffolding and guides the player character through their actions. The complexity arises from the inability to directly control the player character.,low
player:step_on,UP DOWN PRESS,The player character can stomp on enemies.,Providing a reward for the risk of timing a jump to stomp on an enemy from above can be implemented.,low
player:paint,PAINT BALL,Painting the terrain.,"Painting the terrain can have an impact on the behavior of enemies, and can also provide rewards for the player, which encourages them to think more about their movements.",low
weapon:artillery,THROW M,The object follows a parabolic trajectory due to the effect of gravity.,It is often used in combination with the adjustment of the launch angle. Skill is required to successfully hit the intended target.,low
weapon:chase,ACCEL B,Tracking enemies.,"The player can hit enemies without aiming directly at them, reducing their burden. However, this can be offset by increasing the number of enemies or other challenges to the player.",minimal
