category,description
top,アクションミニゲームに含まれるメカニクスをカテゴリ分けしたタグで説明します。[Detail]ボタンを押すとタグの詳細と、そのタグが付けられたサンプルゲームのリストが表示されます。
player,プレイヤーが操作するキャラクターのカテゴリです。プレイヤーキャラクターの動きや形態に関わるもので、操作に応じて行うアクションはon_pressedなどの別のタグで分類されます。プレイヤーキャラクターと協力するキャラクターの内容も含まれます。
weapon,プレイヤーキャラクターが敵などの障害物を排除するために使用する武器のカテゴリです。プレイヤーキャラクターが発射する弾丸の挙動や、敵が使用する武器の挙動も含まれます。
obstacle,プレイヤーキャラクターの進行を妨げる障害物のカテゴリで、接触するとゲームオーバーになる敵が代表的な例です。
field,プレイヤーキャラクターが活動するフィールドのカテゴリで、フィールドに配置されたオブジェクトやビューに関わる内容が含まれます。
rule,ゲームのルールに関するカテゴリで、ゲームの目的やテーマ、特殊な挙動などが含まれます。
on pressed,プレイヤーがボタンを押したときに発生するイベントのカテゴリです。
on holding,プレイヤーがボタンを押し続けたときに発生するイベントのカテゴリです。
on released,プレイヤーがボタンを離したときに発生するイベントのカテゴリです。
on got item,プレイヤーキャラクターがアイテムを取得したときに発生するイベントのカテゴリです。
