name,overview,description,keywords
player-rotate,プレイヤーキャラクターが回転し続ける。,移動ベクトルや射撃方向が時間経過と共に周期的に変化する。,遠心力, 時計, 周期, 螺旋, レーダー
player-reciprocate,プレイヤーキャラクターが往復運動をする。,一定の範囲や軌道を自動的に行き来する動きを持つ。,振り子, リズム, 振動, メトロノーム, 拘束
player-reflect,壁や物体への衝突時に反射する。,入射角に応じた反射挙動により、軌道が変化する。,鏡, ビリヤード, 光, 幾何学, 跳ね返り
player-bounce,常に跳ね続けている。,接地や衝突のたびに反発し、静止することがない。,重力, バネ, 鼓動, 制御不能, 運動量
player-automatic,入力なしで自動的に移動する。,地形やルールに従って進行し、プレイヤーは介入できないか、間接的にのみ関与する。,ベルトコンベア, 運命, 流れ, レール, 不可避
player-string,ひも状やバネ状の形態を持つ。,複数のセグメントが連結、あるいは伸縮する挙動により、慣性や遅れが生じる。,絆, 張力, 蛇, 伸縮, 追従
player-bar,棒状の形態を持つ。,長さと回転が存在し、接触判定が角度によって変化する。,リーチ, 壁, スイープ, 回転, 長さ
player-circle,円形の形態を持つ。,半径の変化（拡大・縮小）が可能で、接触範囲が動的に変わる。,泡, 膨張, 軌道, 滑らかさ, 領域
player-multiple,複数のキャラクターが同時に存在する。,単一の入力で複数の実体を同時に制御する。,群れ, 並列, 混沌, 協調, クローン
player-follow,先頭キャラクターに追従する。,列をなして移動し、長い判定を持つ「蛇」のような状態になる。,行列, 痕跡, 負担, 成長, 連結
player-inverted,反転した状態が存在する。,画面の反対側や、重力が逆転した世界にキャラクターが存在する。,鏡像, 二元論, 極性, 逆さま, 影
player-limited_vision,視界が制限されている。,画面の一部しか見えない、あるいは暗闇に包まれている。,暗闇, スポットライト, 恐怖, 記憶, 未知
player-scaffold,足場や地形に沿って移動する。,空中を自由に動けず、接触している地形の形状に依存して移動する。,建設, 経路探索, 支持, 依存, 接地
player-step_on,敵やオブジェクトを上から踏む。,落下による接触が攻撃やアクションのトリガーとなる。,重み, 圧殺, 垂直性, 優位, マリオ式
player-paint,接触した地形や空間を塗り替える。,移動やアクションの軌跡が環境に永続的な変化を残す。,領土, 軌跡, マーキング, 汚染, アート
weapon-artillery,重力の影響を受ける放物線軌道。,直線ではなく、山なりの軌道を描いて着弾する。,重力, 放物線, 弾道学, 距離感, 落差
weapon-chase,対象を自動追尾する。,発射後、標的に向かって軌道を修正し続ける。,ホーミング, 磁力, 捕食, 執念, 誘導
weapon-vertical,進行方向とは異なる軸（垂直など）へ作用する。,正面ではなく、上下や側面に対して攻撃や干渉を行う。,雨, 柱, 軸, 投下, 死角
weapon-reflect,壁や障害物で反射する。,直接狙えない場所へ、反射を利用して到達させる。,レーザー, 角度, パズル, 間接的, 光線
weapon-auto_aiming,自動的に敵を照準する。,プレイヤーの操作に関わらず、システムが最適な標的を捕捉する。,タレット, ロックオン, テクノロジー, 自動化, 監視
weapon-explosion,着弾や条件達成で爆発する。,点ではなく面（範囲）に対して影響を及ぼす。,爆風, 範囲, 混沌, 衝撃波, カタルシス
weapon-blow_off,対象を物理的に吹き飛ばす。,ダメージではなく、位置の強制移動やノックバックを与える。,風, 衝撃, 距離, 拒絶, 物理演算
weapon-wipe,広範囲をなぎ払う。,線状や扇状の判定が移動し、広域を一度にカバーする。,ビーム, 一掃, 浄化, 消去, ワイパー
weapon-arc,アーチ状や扇状の範囲を持つ。,距離と拡散のトレードオフを持つ形状で展開される。,虹, 拡散, 扇, カバー範囲, 散布
weapon-ray,瞬時に到達する線が表示される。,弾速の概念がなく、直線上の対象に即座に影響を与える。,閃光, 直線, 視線, 貫通, スピード
weapon-smoke,視界を遮る効果が発生する。,煙幕などにより、情報（敵や地形の位置）を隠蔽する。,霧, 盲目, 隠れ蓑, ガス, 不確実性
weapon-time_limit,時間差で効果が発動する。,設置から発動までにラグがあり、未来の状況を予測する必要がある。,時限爆弾, カウントダウン, パニック, 導火線, 罠
weapon-disablement,対象の機能を一時的に停止させる。,破壊せずに、動きや攻撃を封じる。,スタン, 凍結, 罠, 平和主義, 拘束
weapon-interference,敵の攻撃や行動を相殺する。,飛来物や敵の動作に対して、こちらの行動をぶつけて無効化する。,パリィ, ジャミング, 盾, 衝突, 打ち消し
weapon-change_field,地形そのものを変化させる。,穴を開ける、壁を作るなど、フィールド構造を書き換える。,テラフォーミング, 破壊, 創造, 掘削, 工事
obstacle-fall,上から落下してくる。,重力に従って降り注ぐオブジェクト群。,雨, テトリス, 重力, 雪崩, 落下物
obstacle-chase,プレイヤーを執拗に追跡する。,プレイヤーの位置に合わせて移動方向を変え、距離を詰めてくる。,ホラー, 追跡, 磁石, ゾンビ, プレッシャー
obstacle-bounce,壁や床で跳ね返り続ける。,予測しづらい軌道でフィールド内を飛び回る。,カオス, 分子, スポーツ, 予測不能, 乱反射
obstacle-split,条件を満たすと分裂する。,破壊や時間経過により数が増え、サイズが小さくなる。,細胞分裂, 破片, 増殖, ウイルス, 拡散
obstacle-stack,積み重なって地形化する。,落下や停止により残留し、移動範囲を狭めたり足場になったりする。,テトリス, 壁, 蓄積, 埋没, 閉塞
