date,tags,slug,outcome,notes,ga_best_score,ga_resistance,technical_score,design_score,novelty_score,overall_score
2025-10-05,"",gravity_orbit,fail,mode=lint,,,,,
2025-10-05,"",gravity_orbit,pass,mode=sim,,,,,
2025-10-05,"",gravity_orbit,fail,mode=ga,0,Low,,,
2025-10-06,"",bounce_spike,fail,mode=lint,,,,,
2025-10-06,"",bounce_spike,pass,mode=sim,,,,,
2025-10-06,"",bounce_spike,pass,mode=full,,,,,
2025-10-06,"",bounce_spike,pass,mode=ga,0,Low,,,
2025-10-06,"",bounce_spike,pass,mode=ga,0,Low,,,
2025-10-06,"",bounce_spike,pass,mode=sim,,,,,
2025-10-06,"",lane_hop,fail,mode=lint,,,,,
2025-10-06,"",lane_hop,pass,mode=sim,,,,,
2025-10-06,"",lane_hop,pass,mode=ga,0,Low,,,
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,fail,mode=lint,,,,,,
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,pass,mode=lint,,,,,,
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,pass,mode=full,,,50,55,80,61
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,pass,mode=ga,675,High,50,56,0,40
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,pass,mode=comprehensive,352,High,50,55,80,61
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,pass,mode=ga,83,Moderate,80,52,0,50
2025-10-07,"player:bounce|field:holes|field:roughness|obstacle:penalty",crater_dash,pass,mode=full,,,50,53,80,60
2025-10-13,"",lland,pass,mode=lint,,,,,,
2025-10-13,"",lland,pass,mode=ga,0,Low,100,50,0,58
2025-10-13,"",lland,pass,mode=ga,1,Low,70,51,0,46
2025-10-13,"",lland,pass,mode=ga,1,Low,70,52,0,46
2025-10-13,"",lland,pass,mode=ga,1,Low,70,52,0,46
2025-10-13,"",scrambird,pass,mode=ga,0,Low,100,50,0,58
2025-10-13,"",bounce_spike,pass,mode=ga,0,Low,100,51,0,58
2025-10-13,"",scrambird,pass,mode=lint,,,,,,
2025-10-13,"",scrambird,pass,mode=sim,,,,,,
2025-10-13,"",scrambird,pass,mode=ga,0,Low,100,51,0,58
2025-10-13,"",bounce_spike,pass,mode=ga,1120,High,40,83,0,45
2025-10-13,"",scrambird,pass,mode=ga,0,Low,100,52,0,58
2025-10-13,"",scrambird,pass,mode=ga,0,Low,100,56,0,60
2025-10-13,"",scrambird,pass,mode=ga,1,Low,100,54,0,59
2025-10-13,"player:rotate|field:vertical",pin_climb,pass,mode=lint,,,,,,
