name,overview,description,keywords
player-rotate,"Player character rotates continuously.","Movement vector and shooting direction change periodically over time.","centrifugal force, clock, cycle, spiral, radar"
player-reciprocate,"Player character moves back and forth.","Has automatic movement that goes back and forth within a certain range or trajectory.","pendulum, rhythm, oscillation, metronome, constraint"
player-reflect,"Reflects when colliding with walls or objects.","Trajectory changes through reflection behavior based on angle of incidence.","mirror, billiards, light, geometry, bounce"
player-bounce,"Constantly bouncing.","Rebounds on contact with ground or collision, never staying still.","gravity, spring, heartbeat, uncontrollable, momentum"
player-automatic,"Moves automatically without input.","Progresses according to terrain and rules; player cannot intervene or only indirectly.","conveyor belt, fate, flow, rail, inevitable"
player-string,"Has a string-like or spring-like form.","Inertia and delay occur due to multiple connected segments or stretching behavior.","bond, tension, snake, elasticity, follow"
player-bar,"Has a bar-shaped form.","Has length and rotation; collision detection changes based on angle.","reach, wall, sweep, rotation, length"
player-circle,"Has a circular form.","Radius can change (expand/shrink); contact range changes dynamically.","bubble, expansion, orbit, smoothness, area"
player-multiple,"Multiple characters exist simultaneously.","Control multiple entities simultaneously with a single input.","swarm, parallel, chaos, coordination, clone"
player-follow,"Follows the lead character.","Moves in a line, becoming a snake-like state with long collision detection.","queue, trail, burden, growth, chain"
player-inverted,"An inverted state exists.","Character exists on the opposite side of the screen or in a gravity-reversed world.","mirror image, dualism, polarity, upside-down, shadow"
player-limited_vision,"Vision is restricted.","Only part of the screen is visible, or surrounded by darkness.","darkness, spotlight, fear, memory, unknown"
player-scaffold,"Moves along platforms or terrain.","Cannot move freely in the air; movement depends on the shape of contacted terrain.","construction, pathfinding, support, dependency, grounded"
player-step_on,"Steps on enemies or objects from above.","Contact from falling becomes a trigger for attacks or actions.","weight, crush, verticality, superiority, Mario-style"
player-paint,"Repaints contacted terrain or space.","Movement or action trails leave permanent changes in the environment.","territory, trail, marking, contamination, art"
weapon-artillery,"Parabolic trajectory affected by gravity.","Lands in an arcing trajectory rather than a straight line.","gravity, parabola, ballistics, distance sense, drop"
weapon-chase,"Automatically tracks targets.","After firing, continuously corrects trajectory toward the target.","homing, magnetism, predation, persistence, guidance"
weapon-vertical,"Acts on an axis different from direction of travel.","Attacks or interferes with above/below or sides rather than directly ahead.","rain, pillar, axis, drop, blind spot"
weapon-reflect,"Reflects off walls or obstacles.","Uses reflection to reach places that cannot be aimed at directly.","laser, angle, puzzle, indirect, beam"
weapon-auto_aiming,"Automatically aims at enemies.","System captures optimal target regardless of player operation.","turret, lock-on, technology, automation, surveillance"
weapon-explosion,"Explodes on impact or condition fulfillment.","Affects an area rather than a point.","blast, range, chaos, shockwave, catharsis"
weapon-blow_off,"Physically blows away targets.","Gives forced position movement or knockback rather than damage.","wind, impact, distance, rejection, physics"
weapon-wipe,"Sweeps a wide area.","Linear or fan-shaped detection moves and covers a wide area at once.","beam, sweep, purification, erase, wiper"
weapon-arc,"Has an arch or fan-shaped range.","Deploys in a shape with trade-offs between distance and spread.","rainbow, spread, fan, coverage, scatter"
weapon-ray,"A line appears that reaches instantly.","No concept of bullet speed; instantly affects targets on the straight line.","flash, straight line, line of sight, penetration, speed"
weapon-smoke,"Creates an effect that blocks vision.","Conceals information with smoke screens.","fog, blindness, cloak, gas, uncertainty"
weapon-time_limit,"Effect triggers after a time delay.","There is lag from placement to activation; requires predicting future situations.","time bomb, countdown, panic, fuse, trap"
weapon-disablement,"Temporarily disables target functions.","Seals movement or attacks without destroying.","stun, freeze, trap, pacifism, restraint"
weapon-interference,"Cancels enemy attacks or actions.","Negates by hitting your action against incoming objects or enemy movements.","parry, jamming, shield, collision, cancel"
weapon-change_field,"Changes the terrain itself.","Rewrites field structure such as making holes or creating walls.","terraforming, destruction, creation, excavation, construction"
obstacle-fall,"Falls from above.","Objects raining down following gravity.","rain, Tetris, gravity, avalanche, falling object"
obstacle-chase,"Relentlessly pursues the player.","Changes movement direction according to player position, closing distance.","horror, pursuit, magnet, zombie, pressure"
obstacle-bounce,"Keeps bouncing off walls and floors.","Bounces around the field in unpredictable trajectories.","chaos, molecule, sports, unpredictable, reflection"
obstacle-split,"Splits when conditions are met.","Numbers increase and size decreases through destruction or time passage.","cell division, fragment, proliferation, virus, spread"
obstacle-stack,"Stacks up and becomes terrain.","Remains after falling or stopping, narrowing movement range or becoming platforms.","Tetris, wall, accumulation, burial, blockage"
obstacle-foresee,"Anticipates player movement.","Takes action toward predicted future position rather than current position.","sniper, prediction, AI, calculation, cunning"
obstacle-well_up,"Springs up from below.","Appears from the ground or bottom of screen and moves upward.","geyser, ascent, eruption, bubble, source"
